record_type,id,category,scope,status,description,remaining_preparation
candidate,[,shell_and_control,Shell-oriented status timing and process-control behavior,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,"String/integer predicates are expressible as for test, but canonical task IDs reject [. Prepare an explicit executable-name/task-ID mapping; do not silently rename the GNU target."
candidate,arch,system_information,System terminal user and filesystem-information reporting,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,No public uname/machine architecture observation; host constants cannot be hardcoded as benchmark answers.
candidate,b2sum,encoding_and_checksums,"Digest generation; -b, -t, -z and -l digest length; ordered file/stdin operands.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#b2sum,
candidate,base32,encoding_and_checksums,"Default encoding; -d, -i, -w (including zero); zero or one file operand.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#base32,
benchmark,base64,encoding_and_checksums,GNU-compatible supported subset,released,Existing benchmark,
benchmark,basename,filesystem_and_paths,GNU-compatible supported subset,released,Existing benchmark,
candidate,basenc,encoding_and_checksums,"--base16, --base32, --base64; -d, -i, -w; zero or one file operand.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#basenc,
benchmark,cat,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
candidate,chcon,identity_and_permissions,Identity ownership permission and security-context behavior,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,No security-label query/set operation or isolated SELinux/SMACK outcome model.
candidate,chgrp,identity_and_permissions,Group ownership modification,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,No ownership-changing IO method; group names additionally need name-service lookup.
benchmark,chmod,identity_and_permissions,GNU-compatible supported subset,released,Existing benchmark,
candidate,chown,identity_and_permissions,Ownership modification,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,"No ownership-changing IO method, privilege-transition contract or owner/group lookup."
candidate,chroot,filesystem_and_paths,Filesystem and path behavior,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,"No root/cwd namespace transition, credential switching or subprocess execution contract."
candidate,cksum,encoding_and_checksums,Default POSIX CRC with length and filename; ordered file/stdin operands.,open_for_contribution,Implementation requirements: docs/implementation-notes.md#cksum,
benchmark,comm,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
candidate,coreutils,multi_call,Multi-call command dispatch,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,Multi-call dispatch requires approved callable utility entries and executable-name mapping; all constituent commands are not prepared.
candidate,cp,filesystem_and_paths,Follow-up filesystem utility,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,"WriteFile fixes creation mode and does not model ordinary permission/partial-write outcomes faithfully; no copy contract for mode preservation, overwrite/alias/error policy. Read-plus-write existence is insufficient."
benchmark,csplit,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
benchmark,cut,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
candidate,date,system_information,"Explicit --reference=FILE, -u, and an explicit +%s, +%Y-%m-%d or +%H:%M:%S format.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#date,
candidate,dd,text_and_streams,"Finite stdin to stdout; status=none; iflag=fullblock; bs=N and conv=lcase,ucase,swab (valid combinations), including plain copying.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#dd,
candidate,df,system_information,Filesystem statistics,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,"Per-inode storage is not mount/volume capacity, free blocks or inode availability; observations absent."
candidate,dir,filesystem_and_paths,"Explicit -1; -a, -A, -d, -r; stable local paths, stdout capture and C locale.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#dir,
candidate,dircolors,filesystem_and_paths,Explicit -b or -c and one configuration file; normal TERM/COLORTERM matching and color/extension records in C locale.,open_for_contribution,Implementation requirements: docs/implementation-notes.md#dircolors,
benchmark,dirname,filesystem_and_paths,GNU-compatible supported subset,released,Existing benchmark,
benchmark,du,filesystem_and_paths,GNU-compatible supported subset,released,Existing benchmark,
benchmark,echo,output_generation,GNU-compatible supported subset,released,Existing benchmark,
candidate,env,process_and_environment,Process execution and environment behavior,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,No subprocess/environment mutation API; no-command enumeration also loses insertion order in the map contract (verified countermodel).
benchmark,expand,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
benchmark,expr,numeric_and_sequences,GNU-compatible supported subset,released,Existing benchmark,
benchmark,factor,numeric_and_sequences,GNU-compatible supported subset,released,Existing benchmark,
benchmark,false,shell_and_control,GNU-compatible supported subset,released,Existing benchmark,
candidate,fmt,text_and_streams,"Default; -w, -g, -s, -u; ordered file/stdin operands.",open_for_contribution,Implementation requirements: docs/implementation-notes.md#fmt,
benchmark,fold,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
candidate,groups,identity_and_permissions,Group reporting,model_preparation,Reviewed blocker: docs/implementation-notes.md#candidates-awaiting-model-work,No supplementary-group enumeration or user/group name-service results.
benchmark,head,text_and_streams,GNU-compatible supported subset,released,Existing benchmark,
